ocorrencia_classificacao;ocorrencia_uf;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_tipo_veiculo;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano
ACIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;PRIVADA;SUBSTANCIAL
INCIDENTE;AM;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;APROXIMAÇÃO FINAL;TÁXI AÉREO;LEVE
INCIDENTE;PR;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;PE;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;CRUZEIRO;REGULAR;NENHUM
ACIDENTE;SP;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;SUBSTANCIAL
INCIDENTE;SP;2;NÃO;AVIÃO;***;SEM TRAÇÃO;SUBIDA;REGULAR;NENHUM
INCIDENTE GRAVE;MS;1;SIM;ULTRALEVE;PISTÃO;MONOMOTOR;CORRIDA APÓS POUSO;PRIVADA;LEVE
ACIDENTE;PR;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL
INCIDENTE;ES;1;NÃO;AVIÃO;PISTÃO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;NENHUM
INCIDENTE;GO;1;NÃO;AVIÃO;JATO;BIMOTOR;DECOLAGEM;PRIVADA;LEVE
INCIDENTE;SP;2;NÃO;AVIÃO;JATO;BIMOTOR;ESTACIONAMENTO;REGULAR;LEVE
ACIDENTE;MT;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CIRCUITO DE TRÁFEGO;PRIVADA;SUBSTANCIAL
INCIDENTE;RJ;2;NÃO;AVIÃO;***;SEM TRAÇÃO;APROXIMAÇÃO FINAL;REGULAR;NENHUM
INCIDENTE GRAVE;SC;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;VOO A BAIXA ALTURA;AGRÍCOLA;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;SUBIDA;REGULAR;NENHUM
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;DESCIDA;PRIVADA;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;POUSO;INSTRUÇÃO;LEVE
ACIDENTE;***;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;INDETERMINADA;PRIVADA;***
INCIDENTE GRAVE;RJ;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;POUSO;PRIVADA;LEVE
INCIDENTE;MG;1;NÃO;HELICÓPTERO;TURBOEIXO;MONOMOTOR;CRUZEIRO;ESPECIALIZADA;NENHUM
INCIDENTE GRAVE;RR;1;SIM;AVIÃO;TURBOÉLICE;MONOMOTOR;DECOLAGEM;TÁXI AÉREO;LEVE
ACIDENTE;MT;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;DECOLAGEM;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE GRAVE;PR;1;NÃO;AVIÃO;TURBOÉLICE;MONOMOTOR;CRUZEIRO;PRIVADA;NENHUM
ACIDENTE;GO;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;MANOBRA;ESPECIALIZADA;SUBSTANCIAL
INCIDENTE;PR;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;NENHUM
INCIDENTE;MG;1;NÃO;AVIÃO;TURBOÉLICE;BIMOTOR;POUSO;NÃO REGULAR;NENHUM
INCIDENTE GRAVE;PR;1;SIM;AVIÃO;PISTÃO;BIMOTOR;POUSO;POLICIAL;LEVE
ACIDENTE;PA;1;SIM;AVIÃO;PISTÃO;MONOMOTOR;CRUZEIRO;PRIVADA;SUBSTANCIAL
ACIDENTE;PA;1;NÃO;AVIÃO;PISTÃO;MONOMOTOR;INDETERMINADA;PRIVADA;SUBSTANCIAL
ACIDENTE;BA;1;SIM;AVIÃO;JATO;BIMOTOR;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL
